instant,temperature
2014-12-31T23:00:00Z,-7.5
2014-12-31T23:15:00Z,-7.483941763740814
2014-12-31T23:30:00Z,-7.435835818108736
2014-12-31T23:45:00Z,-7.355888158085855
2015-01-01T00:00:00Z,-7.244441128388731
2015-01-01T00:15:00Z,-7.10197195749576
2015-01-01T00:30:00Z,-6.9290907140815765
2015-01-01T00:45:00Z,-6.7265376946093065
2015-01-01T01:00:00Z,-6.495180253267483
2015-01-01T01:15:00Z,-6.236009087826237
2015-01-01T01:30:00Z,-5.950133997317361
2015-01-01T01:45:00Z,-5.638779129704471
2015-01-01T02:00:00Z,-5.303277739893487
2015-01-01T02:15:00Z,-4.9450664805304605
2015-01-01T02:30:00Z,-4.565679250034358
2015-01-01T02:45:00Z,-4.166740624208568
2015-01-01T03:00:00Z,-3.7499588995578863
2015-01-01T03:15:00Z,-3.317118778100628
2015-01-01T03:30:00Z,-2.870073725000588
2015-01-01T03:45:00Z,-2.410738031744671
2015-01-01T04:00:00Z,-1.9410786188528473
2015-01-01T04:15:00Z,-1.4631066132225232
2015-01-01T04:30:00Z,-0.9788687361744213
2015-01-01T04:45:00Z,-0.4904385390776511
2015-01-01T05:00:00Z,9.247591557581814e-5
2015-01-01T05:15:00Z,0.4906238120032551
2015-01-01T05:30:00Z,0.9790549723833735
2015-01-01T05:45:00Z,1.4632944549036946
2015-01-01T06:00:00Z,1.9412687081950484
2015-01-01T06:15:00Z,2.410931010936647
2015-01-01T06:30:00Z,2.8702702362309864
2015-01-01T06:45:00Z,3.3173194635579843
2015-01-01T07:00:00Z,3.7501644014306077
2015-01-01T07:15:00Z,4.166951584684901
2015-01-01T07:30:00Z,4.565896311302373
2015-01-01T07:45:00Z,4.945290284778036
2015-01-01T08:00:00Z,5.303508929308283
2015-01-01T08:15:00Z,5.639018346473906
2015-01-01T08:30:00Z,5.950381883628603
2015-01-01T08:45:00Z,6.236266285866172
2015-01-01T09:00:00Z,6.4954474052227
2015-01-01T09:15:00Z,6.726815442666073
